y, omega, u
157.21, 9400.00, 54.56
159.21, 9400.00, 54.56
157.21, 9400.00, 54.56
158.21, 9400.00, 54.56
149.21, 9300.00, 54.56
155.21, 9300.00, 54.56
152.21, 9300.00, 54.56
152.21, 9300.00, 54.56
149.21, 9300.00, 54.56
153.21, 9300.00, 54.56
148.21, 9300.00, 54.56
149.21, 9400.00, 54.56
147.21, 9400.00, 54.56
140.21, 9400.00, 54.56
148.21, 9400.00, 54.56
144.21, 9400.00, 54.56
148.21, 9400.00, 54.56
146.21, 9300.00, 54.56
150.21, 9300.00, 54.56
144.21, 9300.00, 54.56
148.21, 9300.00, 54.56
148.21, 9300.00, 54.56
144.21, 9300.00, 54.56
148.21, 9400.00, 54.56
146.21, 9400.00, 54.56
152.21, 9400.00, 54.56
150.21, 9400.00, 54.56
151.21, 9400.00, 54.56
150.21, 9400.00, 54.56
154.21, 9400.00, 54.56
141.21, 9400.00, 54.56
148.21, 9400.00, 54.56
151.21, 9400.00, 54.56
149.21, 9400.00, 54.56
149.21, 9400.00, 54.56
149.21, 9300.00, 54.56
150.21, 9300.00, 54.56
148.21, 9300.00, 54.56
148.21, 9300.00, 54.56
149.21, 9300.00, 54.56
151.21, 9300.00, 54.56
150.21, 9400.00, 54.56
147.21, 9400.00, 54.56
147.21, 9400.00, 54.56
146.21, 9400.00, 54.56
151.21, 9400.00, 54.56
147.21, 9400.00, 54.56
146.21, 9400.00, 54.56
147.21, 9400.00, 54.56
150.21, 9400.00, 54.56
145.21, 9400.00, 54.56
146.21, 9400.00, 54.56
149.21, 9400.00, 54.56
147.21, 9500.00, 54.56
147.21, 9500.00, 54.56
149.21, 9500.00, 54.56
144.21, 9500.00, 54.56
150.21, 9500.00, 54.56
147.21, 9500.00, 54.56
147.21, 9400.00, 54.56
148.21, 9400.00, 54.56
150.21, 9400.00, 54.56
150.21, 9400.00, 54.56
153.21, 9400.00, 54.56
149.21, 9400.00, 54.56
154.21, 9400.00, 54.56
149.21, 9400.00, 54.56
150.21, 9400.00, 54.56
150.21, 9400.00, 54.56
153.21, 9400.00, 54.56
151.21, 9400.00, 54.56
153.21, 9500.00, 54.56
147.21, 9500.00, 54.56
157.21, 9500.00, 54.56
149.21, 9500.00, 54.56
150.21, 9500.00, 54.56
151.21, 9500.00, 54.56
153.21, 9500.00, 54.56
151.21, 9500.00, 54.56
151.21, 9500.00, 54.56
155.21, 9500.00, 54.56
150.21, 9500.00, 54.56
151.21, 9500.00, 54.56
153.21, 9500.00, 54.56
155.21, 9500.00, 54.56
148.21, 9500.00, 54.56
149.21, 9500.00, 54.56
147.21, 9500.00, 54.56
155.21, 9500.00, 54.56
146.21, 9400.00, 54.56
151.21, 9400.00, 54.56
150.21, 9400.00, 54.56
152.21, 9400.00, 54.56
149.21, 9400.00, 54.56
151.21, 9400.00, 54.56
148.21, 9500.00, 54.56
151.21, 9500.00, 54.56
153.21, 9500.00, 54.56
150.21, 9500.00, 54.56
155.21, 9500.00, 54.56
153.21, 9500.00, 54.56
151.21, 9400.00, 54.56
157.21, 9400.00, 54.56
153.21, 9400.00, 54.56
156.21, 9400.00, 54.56
156.21, 9400.00, 54.56
162.21, 9400.00, 54.56
157.21, 9500.00, 54.56
164.21, 9500.00, 54.56
160.21, 9500.00, 54.56
165.21, 9500.00, 54.56
171.21, 9500.00, 54.56
166.21, 9500.00, 54.56
164.21, 9500.00, 54.56
174.21, 9500.00, 54.56
168.21, 9500.00, 54.56
170.21, 9500.00, 54.56
167.21, 9500.00, 54.56
171.21, 9500.00, 54.56
174.21, 9500.00, 54.56
177.21, 9500.00, 54.56
174.21, 9500.00, 54.56
179.21, 9500.00, 54.56
173.21, 9500.00, 54.56
176.21, 9500.00, 54.56
180.21, 9400.00, 54.56
178.21, 9400.00, 54.56
179.21, 9400.00, 54.56
180.21, 9400.00, 54.56
183.21, 9400.00, 54.56
179.21, 9400.00, 54.56
178.21, 9500.00, 54.56
178.21, 9500.00, 54.56
182.21, 9500.00, 54.56
181.21, 9500.00, 54.56
178.21, 9500.00, 54.56
180.21, 9500.00, 54.56
184.21, 9400.00, 54.56
182.21, 9400.00, 54.56
177.21, 9400.00, 54.56
176.21, 9400.00, 54.56
170.21, 9400.00, 54.56
183.21, 9400.00, 54.56
181.21, 9500.00, 54.56
175.21, 9500.00, 54.56
178.21, 9500.00, 54.56
176.21, 9500.00, 54.56
179.21, 9500.00, 54.56
175.21, 9500.00, 54.56
177.21, 9400.00, 54.56
173.21, 9400.00, 54.56
182.21, 9400.00, 54.56
176.21, 9400.00, 54.56
178.21, 9400.00, 54.56
173.21, 9400.00, 54.56
171.21, 9400.00, 54.56
172.21, 9400.00, 54.56
182.21, 9400.00, 54.56
177.21, 9400.00, 54.56
175.21, 9400.00, 54.56
174.21, 9400.00, 54.56
174.21, 9400.00, 54.56
173.21, 9400.00, 54.56
175.21, 9400.00, 54.56
173.21, 9400.00, 54.56
173.21, 9400.00, 54.56
173.21, 9400.00, 54.56
174.21, 9400.00, 54.56
174.21, 9400.00, 54.56
169.21, 9400.00, 54.56
177.21, 9400.00, 54.56
174.21, 9400.00, 54.56
173.21, 9400.00, 54.56
178.21, 9400.00, 54.56
177.21, 9400.00, 54.56
173.21, 9400.00, 54.56
176.21, 9400.00, 54.56
178.21, 9400.00, 54.56
173.21, 9400.00, 54.56
173.21, 9400.00, 54.56
174.21, 9400.00, 54.56
174.21, 9400.00, 54.56
177.21, 9400.00, 54.56
175.21, 9400.00, 54.56
171.21, 9400.00, 54.56
176.21, 9400.00, 54.56
178.21, 9400.00, 54.56
170.21, 9400.00, 54.56
169.21, 9400.00, 54.56
166.21, 9400.00, 54.56
164.21, 9400.00, 54.56
175.21, 9400.00, 54.56
167.21, 9400.00, 54.56
166.21, 9400.00, 54.56
172.21, 9400.00, 54.56
167.21, 9400.00, 54.56
172.21, 9400.00, 54.56
171.21, 9400.00, 54.56
169.21, 9400.00, 54.56
170.21, 9400.00, 54.56
170.21, 9400.00, 54.56
170.21, 9400.00, 54.56
167.21, 9400.00, 54.56
170.21, 9400.00, 54.56
161.21, 9400.00, 54.56
170.21, 9400.00, 54.56
165.21, 9400.00, 54.56
172.21, 9400.00, 54.56
167.21, 9400.00, 54.56
166.21, 9500.00, 54.56
172.21, 9500.00, 54.56
169.21, 9500.00, 54.56
176.21, 9500.00, 54.56
170.21, 9500.00, 54.56
173.21, 9500.00, 54.56
171.21, 9400.00, 54.56
170.21, 9400.00, 54.56
172.21, 9400.00, 54.56
174.21, 9400.00, 54.56
179.21, 9400.00, 54.56
169.21, 9400.00, 54.56
173.21, 9400.00, 54.56
169.21, 9400.00, 54.56
172.21, 9400.00, 54.56
168.21, 9400.00, 54.56
167.21, 9400.00, 54.56
173.21, 9400.00, 54.56
167.21, 9400.00, 54.56
173.21, 9400.00, 54.56
168.21, 9400.00, 54.56
170.21, 9400.00, 54.56
173.21, 9400.00, 54.56
168.21, 9400.00, 54.56
168.21, 9500.00, 54.56
166.21, 9500.00, 54.56
169.21, 9500.00, 54.56
165.21, 9500.00, 54.56
159.21, 9500.00, 54.56
164.21, 9500.00, 54.56
169.21, 9400.00, 54.56
169.21, 9400.00, 54.56
167.21, 9400.00, 54.56
172.21, 9400.00, 54.56
167.21, 9400.00, 54.56
163.21, 9400.00, 54.56
168.21, 9400.00, 54.56
167.21, 9400.00, 54.56
170.21, 9400.00, 54.56
168.21, 9400.00, 54.56
173.21, 9400.00, 54.56
170.21, 9400.00, 54.56
168.21, 9400.00, 54.56
171.21, 9400.00, 54.56
172.21, 9400.00, 54.56
171.21, 9400.00, 54.56
163.21, 9400.00, 54.56
169.21, 9400.00, 54.56
166.21, 9400.00, 54.56
166.21, 9400.00, 54.56
167.21, 9400.00, 54.56
166.21, 9400.00, 54.56
171.21, 9400.00, 54.56
167.21, 9400.00, 54.56
165.21, 9400.00, 54.56
165.21, 9400.00, 54.56
163.21, 9400.00, 54.56
166.21, 9400.00, 54.56
166.21, 9400.00, 54.56
171.21, 9400.00, 54.56
159.21, 9400.00, 54.56
170.21, 9400.00, 54.56
168.21, 9400.00, 54.56
165.21, 9400.00, 54.56
161.21, 9400.00, 54.56
166.21, 9400.00, 54.56
167.21, 9400.00, 54.56
167.21, 9400.00, 54.56
162.21, 9400.00, 54.56
166.21, 9400.00, 54.56
169.21, 9400.00, 54.56
167.21, 9400.00, 54.56
166.21, 9500.00, 54.56
168.21, 9500.00, 54.56
163.21, 9500.00, 54.56
170.21, 9500.00, 54.56
163.21, 9500.00, 54.56
163.21, 9500.00, 54.56
167.21, 9400.00, 54.56
168.21, 9400.00, 54.56
164.21, 9400.00, 54.56
173.21, 9400.00, 54.56
174.21, 9400.00, 54.56
173.21, 9400.00, 54.56
173.21, 9500.00, 54.56
172.21, 9500.00, 54.56
169.21, 9500.00, 54.56
173.21, 9500.00, 54.56
170.21, 9500.00, 54.56
164.21, 9500.00, 54.56
171.21, 9400.00, 54.56
173.21, 9400.00, 54.56
173.21, 9400.00, 54.56
170.21, 9400.00, 54.56
169.21, 9400.00, 54.56
168.21, 9400.00, 54.56
167.21, 9500.00, 54.56
169.21, 9500.00, 54.56
170.21, 9500.00, 54.56
170.21, 9500.00, 54.56
169.21, 9500.00, 54.56
175.21, 9500.00, 54.56
170.21, 9500.00, 54.56
176.21, 9500.00, 54.56
171.21, 9500.00, 54.56
165.21, 9500.00, 54.56
172.21, 9500.00, 54.56
167.21, 9500.00, 54.56
167.21, 9400.00, 54.56
166.21, 9400.00, 54.56
171.21, 9400.00, 54.56
171.21, 9400.00, 54.56
166.21, 9400.00, 54.56
170.21, 9400.00, 54.56
165.21, 9500.00, 54.56
169.21, 9500.00, 54.56
170.21, 9500.00, 54.56
171.21, 9500.00, 54.56
170.21, 9500.00, 54.56
171.21, 9500.00, 54.56
167.21, 9500.00, 54.56
168.21, 9500.00, 54.56
173.21, 9500.00, 54.56
175.21, 9500.00, 54.56
173.21, 9500.00, 54.56
172.21, 9500.00, 54.56
171.21, 9500.00, 54.56
169.21, 9500.00, 54.56
168.21, 9500.00, 54.56
173.21, 9500.00, 54.56
170.21, 9500.00, 54.56
170.21, 9500.00, 54.56
175.21, 9400.00, 54.56
172.21, 9400.00, 54.56
174.21, 9400.00, 54.56
173.21, 9400.00, 54.56
166.21, 9400.00, 54.56
170.21, 9400.00, 54.56
169.21, 9500.00, 54.56
170.21, 9500.00, 54.56
173.21, 9500.00, 54.56
165.21, 9500.00, 55.24
176.21, 9500.00, 55.24
173.21, 9500.00, 55.24
171.21, 9400.00, 55.24
176.21, 9400.00, 55.24
173.21, 9400.00, 55.24
172.21, 9400.00, 55.24
169.21, 9400.00, 55.24
173.21, 9400.00, 55.24
167.21, 9400.00, 55.24
175.21, 9400.00, 55.24
174.21, 9400.00, 55.24
179.21, 9400.00, 55.24
170.21, 9400.00, 55.24
173.21, 9400.00, 55.24
172.21, 9500.00, 55.24
174.21, 9500.00, 55.24
173.21, 9500.00, 55.24
176.21, 9500.00, 55.24
176.21, 9500.00, 55.24
171.21, 9500.00, 55.24
175.21, 9400.00, 55.24
173.21, 9400.00, 55.24
173.21, 9400.00, 55.24
167.21, 9400.00, 55.24
175.21, 9400.00, 55.24
174.21, 9400.00, 55.24
174.21, 9400.00, 55.24
171.21, 9400.00, 55.24
177.21, 9400.00, 55.24
178.21, 9400.00, 55.24
174.21, 9400.00, 55.24
176.21, 9400.00, 55.24
169.21, 9500.00, 55.24
173.21, 9500.00, 55.24
175.21, 9500.00, 55.24
176.21, 9500.00, 55.24
174.21, 9500.00, 55.24
173.21, 9500.00, 55.24
176.21, 9500.00, 55.24
174.21, 9500.00, 55.24
174.21, 9500.00, 55.24
176.21, 9500.00, 55.24
177.21, 9500.00, 55.24
176.21, 9500.00, 55.24
175.21, 9400.00, 55.24
180.21, 9400.00, 55.24
176.21, 9400.00, 55.24
174.21, 9400.00, 55.24
182.21, 9400.00, 55.24
177.21, 9400.00, 54.83
178.21, 9500.00, 54.83
177.21, 9500.00, 54.83
174.21, 9500.00, 54.83
181.21, 9500.00, 54.83
179.21, 9500.00, 54.83
173.21, 9500.00, 54.83
180.21, 9600.00, 54.83
186.21, 9600.00, 54.83
179.21, 9600.00, 54.83
183.21, 9600.00, 54.83
185.21, 9600.00, 54.83
185.21, 9600.00, 54.83
186.21, 9500.00, 54.83
185.21, 9500.00, 54.83
185.21, 9500.00, 54.83
184.21, 9500.00, 54.83
185.21, 9500.00, 54.83
185.21, 9500.00, 54.83
184.21, 9500.00, 54.83
