y, omega, u
0.00,0.00,0.00
1.10,0.00,55.20
2.10,0.00,55.20
8.10,0.00,55.20
0.00,0.00,55.20
0.10,0.00,55.20
2.10,0.00,55.20
0.10,0.00,55.20
0.00,0.00,55.20
0.00,0.00,55.20
0.00,0.00,55.20
1.10,0.00,55.20
0.00,0.00,55.20
0.00,0.00,55.20
0.10,0.00,55.20
0.00,0.00,55.20
0.00,0.00,55.20
1.10,0.00,55.20
0.00,0.00,55.20
0.10,0.00,55.20
0.00,700.00,55.20
0.00,700.00,55.20
0.10,700.00,55.20
0.10,700.00,55.20
4.10,700.00,55.20
3.10,700.00,55.20
0.10,1200.00,55.20
1.10,1200.00,55.20
0.10,1200.00,55.20
0.10,1200.00,55.20
1.10,1200.00,55.20
0.00,1200.00,55.20
1.10,1500.00,55.20
0.00,1500.00,55.20
0.10,1500.00,55.20
3.10,1500.00,55.20
0.00,1500.00,55.20
1.10,1500.00,55.20
0.00,2000.00,55.20
0.10,2000.00,55.20
0.00,2000.00,55.20
0.00,2000.00,55.20
4.10,2000.00,55.20
8.10,2000.00,55.20
5.10,2400.00,55.20
0.00,2400.00,55.20
3.10,2400.00,55.20
1.10,2400.00,55.20
0.00,2400.00,55.20
1.10,2400.00,55.20
0.00,2800.00,55.20
1.10,2800.00,55.20
0.00,2800.00,55.20
0.10,2800.00,55.20
1.10,2800.00,55.20
0.00,2800.00,55.20
0.00,3200.00,55.20
0.00,3200.00,55.20
0.00,3200.00,55.20
0.10,3200.00,55.20
0.00,3200.00,55.20
1.10,3200.00,55.20
0.00,3600.00,55.20
0.10,3600.00,55.20
1.10,3600.00,55.20
4.10,3600.00,55.20
2.10,3600.00,55.20
0.00,3600.00,55.20
0.00,4100.00,55.20
2.10,4100.00,55.20
0.00,4100.00,55.20
1.10,4100.00,55.20
1.10,4100.00,55.20
0.00,4100.00,55.20
0.00,4700.00,55.20
1.10,4700.00,55.20
0.00,4700.00,55.20
0.00,4700.00,55.20
0.00,4700.00,55.20
2.10,4700.00,55.20
0.00,5200.00,55.20
0.10,5200.00,55.20
4.10,5200.00,55.20
0.00,5200.00,55.20
2.10,5200.00,55.20
5.10,5200.00,55.20
0.10,5700.00,55.20
2.10,5700.00,55.20
2.10,5700.00,55.20
0.00,5700.00,55.20
1.10,5700.00,55.20
0.00,5700.00,55.20
1.10,6400.00,55.20
0.00,6400.00,55.20
0.10,6400.00,55.20
0.00,6400.00,55.20
0.00,6400.00,55.20
1.10,6400.00,55.20
